Name,also called or related to,Description,Advantages over other metrics,Question answered,Designed for Reproducibility,Type of reproducibility named in included paper(s),Type of Reproducibility investigated,Related iRISE glossary term,Scenario of application,Purpose of Metric,Purpose of Metric - explanaition,Type of metric,Type of assessment,Implementation of Metric,Data Input,Assumptions,Limitations,First mention in,Discussed in,Used in
Meta-analysis,,"Fixed-effect or random-effects meta-analyses can be used to combine the results from an original and a replication study, or from several replication studies. In the pairwise scenario, a replication is often considered successful if the results of the meta-analysis align with the results of the original study (significance and direction of effect). When several replications are conducted of the same phenomenon, meta-analysis methodology can be used to assess the reproducibility of the finding. To account for potential heterogeneity between studies, random-effects models are used.",(1) Familiar to most researchers,"""Given an original-replication study pair, does the pooled effect align with that of the original study?"" - ""Given a set of replications, is the effect size reproducible across studies?""",No ,Replication,Different data - same analysis; Same data - different analysis; Different data - different analysis,"Reproducibility (direct and conceptual replication), repeatability, robustness, generalizability, translatability",One original and one replication study; or one original and many replication studies; or several replications,"To quantify (continuous); To classify (binary, yes or no)","Classification for an original-replication study pair, or several replications. ",A formula; A statistical model,Quantitative and objective,"Easy to implement: using standard statistical software; specifically for several replications, or MAs in general, see \href{https://github.com/menglix/repMeta}{https://github.com/menglix/repMeta}",Results - numbers and tables,(1) Original and replication study/ies are exchangable (2) Fixed-effect meta-analysis assumes that all studies have the same underlying true effect (3) Effect sizes are normally distributed,(1) For random effect: between study variance difficult to estimate when the number of available studies is limited,,"\cite{fabrigar_conceptualizing_2016, hedges_more_2019, heirene_call_2021, schauer_reconsidering_2021, bonett_design_2021, fletcher_how_2021, muradchanian_how_2021,mcshane_variation_2022}","\cite{milcu_genotypic_2018, ebersole_many_2020, errington_investigating_2021, hagger_multilab_2016, camerer_evaluating_2016, jaric_using_2024, wagenmakers_registered_2016, amaral_brazilian_2019}"
Equivalence testing,TOST (two one-sided tests),"An equivalence range is constructed based on an equivalence margin, or a smallest effect size of interest. When assessing the replication of an original ``null'' (non-significant) finding a successful replication would reject the null hypothesis of an effect being outside the equivalence region. Alternatively, when interested in assessing whether the original and the replication study find consistent or equivalent effects, one can test whether the difference in effect size falls within a region of equivalence. 
",(1) Involves a smallest effect size of interest (2) Allows the assessment of original null findings,"""For the replication of an original null finding, does the replication study find an effect that is equally negligible?""  - ""Are the results from the replication statistically equivalent to the results of the original study?""",No ,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original and one replication study,"To classify (binary, yes or no); To quantify (continuous)",Classification if checking that the replication effect is in equivalence margings. Quantification if combined with TOST $p$-values,A formula,Quantitative with some subjectivity (equivalence margins),Can be implemented in open-source software \citep{lakens_equivalence_2018},Results - numbers and tables,,(1) Needs setting of equivalence margins,,"\cite{anderson_theres_2016, heirene_call_2021, bonett_design_2021, steiner_correspondence_2023, mateu_towards_2024}",
Minimum effect testing,,"Based on the results of the original study, a minimal level of evidence required to support the original study is defined, as a range constituting the null hypothesis. A test is performed to see whether the replication effect size lies within the range ($H_0$) or outside ($H_1$).",(1) Involves a smallest effect size of interest,"""Is the replication effect size significantly different from a minimal effect size of interest, required to support the original study?""",No ,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original and one replication study,"To classify (binary, yes or no)",Classification if checking that the replication effect outside range. Quantification if combined test/$p$-values,A formula,Quantitative with some subjectivity (Smallest effect size of interest),Easy to implement,Results - numbers and tables,,(1) Needs the setting of a smallest effect size of interest,,\cite{heirene_call_2021},\cite{wang_reproducibility_2022}
Causal replication framework,,"The framework formalizes the conditions under which replication success can be expected, and allows for the causal interpretation of replication failures. These conditions are summarized into replication assumptions which are qualitatively or narratively assessed. Replication failure occurs when one or more of the causal replication framework assumptions are violated.",,"""How can a replication failure be interpreted, from a causal perspective""",Yes,Replication; Conceptual replication; Replicability,Different data - same analysis; Different data - different analysis,"Reproducibility (direct and conceptual replication), generalizability, translatability",One original and one replication study; or one original and many replication studies; or several replications,To explain; To interprete,Explanation and interpretation of replication failures,A framework,Qualitative and subjective,"Unclear implementation: the authors give two examples showing how to use the framework via a Table, but as it is very subjective it remains unclear how to fill the table and what conclusions to draw from",Elements of the design of both original and replication studies,(1) Replication design has to allow for the testing of the framewoks assumptions,(1) Very subjective interpretation of assumptions,\cite{steiner_causal_2019},\cite{wong_design-based_2022},
Text-based machine learning model to estimate reproducibility,,"A machine learning model using an ensemble of random forest and logistic regression was trained on data from replication studies. This model can then use a paper's text and meta-data to predict its likelihood of replication, based on the significance criterion.  ",,"""Given the text of an original paper, what is the probability of replication success?""",Yes,Replicability,Different data - same analysis,Reproducibility (direct and conceptual replication),One original study; or several original studies,To predict,Prediction of the replication outcome of an study,An algorithm,Quantitative and objective,"Hard and unclear implementation, and costly to implement, and ""The
data are available upon request""",Text; Some demographics or meta-data,(1) Expertise in machine learning techniques,"(1) So far, only test on ""top-tier"" journal publications (2) Limitations of (generalizability of) training data",\cite{yang_estimating_2020},"\cite{youyou_discipline-wide_2023, nordling_literature_2022}",\cite{alipourfard_systematizing_2024}
Prediction market,,"Based on original results and information on the design of planned replication studies, participants in a prediction market trade contracts on the possible outcome of a replication study. The contracts pay a certain amount of money if the replication is successful. The traded contracts then allow the price to be interpreted as the predicted probability of the outcome occurring.",,"""What do the participants in a prediction market predict as the probability that the original findings will replicate?""",Yes,Reproducibility; Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original study with a planned replication; or several original studies with planned replications,"To quantify (continuous); To classify (binary, yes or no); To predict",Mainly to predict the reproducibility of results,A study,Quantitative and subjective,"Clear implementation, but hard to implement",Text; Information on the design of the original and the replication studies,(1) Based on replication success definition being that a replication finds a statistically significant effect in the same direction as the original,(1) Cost and time consuming (2) Replications have to be performed to ensure that the outcome can be traded on,\cite{dreber_using_2015},,"\cite{botvinik-nezer_variability_2020, camerer_evaluating_2016}"
"Presence/Absence of elements ensuring reproducibility,via proxies",Framework for evaluating rigor and reproducibility,"An original paper is checked for the presence or absence of certain design and reporting elements that are crucial for its reproducibility. This is often achieved using checklists or reporting guidelines which summarize the community standards. The elements of theses checklists or guidelines are usually integrated in a study, survey or questionnaire.",,"""Do the design, methods and reporting of the original paper align with community standards of reproducible and transparent research?""",Yes,Reproducibility ,Same data - same analysis; Same data - different analysis; Different data - same analysis; Different data - different analysis,"Proxy, reproducibility (direct and conceptual replication), computational reproducibility, repeatability, robustness, generalizability, translatability",One original study,"To quantify (continuous); To classify (binary, yes or no); To predict","Can be done by calculating shares, or evaluating the reproducibility on a categorical scale",A survey or questionnaire,"Quantitative with subjective element, due to the choice of elements to go in the checklist",Easy to implement,Text; Results - numbers and tables; Results - figures; Some demographics or meta-data,(1) Such systems depend on community standards of a research field,"(1) Might be designed to be as objective as possible, but can remain subjective to a certain degree",,"\cite{gonzalez-barahona_reproducibility_2012, nordling_literature_2022, belbasis_reproducibility_2022, hildebrandt_rigor_2020}",
"Quantified reproducibility assessment, QRA",,"The method is based on the concepts and definitions of metrology. For QRA, the precision of measurements done in replications across varying conditions is assessed. ",(1) Produces degree-of-reproducibility scores that are comparable across multiple replications of different original studies,"""After performing multiple measurements of an object, what is the precision of the measured quantity obtained?""",Yes,Repeatability; Reproducibility ,Same data - same analysis; Different data - same analysis; Same data - different analysis; Different data - different analysis,"Reproducibility (direct), repeatability",One original study and many replication studies,"To quantify (continuous); To classify (binary, yes or no)",,A formula; A statistical model,Quantitative and objective,Ready-to-use open-source tool; Easy to implement; Code and data available: \href{https://github.com/asbelz/coeff-var}{https://github.com/asbelz/coeff-var},Results - numbers and tables,(1) Assumes measured quantity values are normally distributed (2) Needs to specifc a method for computing precision; specified conditions of measurement; and a procedure for carrying out reproducibility assessments.,(1) Designed for studies in natural language (NLP) processing,\cite{belz_quantified_2022},"\cite{nordling_literature_2022, belz_metrological_2022}",
Jaccard similarity coefficient,Coefficient of similarity,"The percent overlap of activation between two fMRI studies ($j$ and $l$) is defined as $$w_{j,l} = \frac{V_{j,l}}{V_j + V_l - V_{j,l}},$$ where $V_j$ and $V_l$ are the number of voxels identified as activated in either experiment and $V_{j,l}$ is the number of voxels identified as activated in both experiments. \cite{wang_replicability_2022} suggest using a measure that is closely related to the Jaccard coefficient to measure reproducibility in omics data analysis.",,"""By what extent do the results of two (or more) fMRI experiments overlap?""",No,Reproducibility; Reliability; Replication,Same data - same analysis,"Computational reproducibility, repeatability",One original study and one replication study; or several replications,To quantify (continuous),Quantification of reproducibility,A formula,Quantitative and objective,Unclear implementation,Results - numbers and tables,,"(1) Specifically designed for fmRI studies, but also omics data analysis",,"\cite{maitra_re-defined_2010, wang_replicability_2022}",\cite{veronese_reproducibility_2021}
Sceptical $p$-value,"versions: nominal sceptical $p$-value, golden sceptical $p$-value, controlled sceptical $p$-value","Replication success is declared if the replication study is in conflict with a sceptical prior that would make the original study non significant. The sceptical $p$-value quantifies the prior-data conflict. \cite{held_new_2020} introduced the nominal $p$-value. Two more re-calibrations have been proposed since. The nominal $p$-value might be too stringent as it needs both original and replication study to be significant at level $\alpha$. With the golden re-calibration it is possible to establish replication success, original and replication study do not both necessarily need to be significant at level $\alpha$, provided that the replication effect estimate does not shrink compared to the original one. The controlled $p$-value was introduced to guarantee overall type I error control at $\alpha^2$ and is closely related to the significance criterion.",(1) Assess replication success quantitatively (2) Golden version can flag replication success if the original or replication $p$-value does not meet the significance threshold. (3) The controlled sceptical $p$-value guarantees exact overall type one error control. (4) the method penalizes shrinkage of replication effect estimate compared to the original one,"""To what extent are the results of a replication study in conflict with the beliefs of a sceptic of the original study?""",Yes,Replication; Replicability,Different data - same analysis,Reproducibility (direct and conceptual replication),One original study and one replication study,"To quantify (continuous); To classify (binary, yes or no)",To classify replication success using the sceptical $p$-value (any versions) and comparing it to a certain significance level $\alpha$. The sceptical $p$-value can also be used as a continuous measure or replication success.,A formula,Quantitative and objective,Ready-to-use open-source tool: ReplicationSuccess R-package,Results - numbers and tables,"(1) normality assumption of effect size (2) golden: for borderline significant original studies, replication success can only be achieved if the replication effect estimate is larger than the original one (3) the original and replication study are assumed to be not exchangeable","(1) exact overall type I error control comes at a certain price: the explicit penalization of small relative effect sizes in the nominal or golden versions of the sceptical $p$-value is lost and replication success may occur even for large shrinkage of the replication effect estimate, if the relative sample size c is large enough.",\cite{held_new_2020},"\cite{muradchanian_how_2021, held_assessment_2022, micheloud_assessing_2023}",
Modified Brinley plot,,"The plot summarizes the results for several replications including a comparison (A vs. B) by plotting the means of one phase (A, baseline) against the mean of the second phase (B, intervention) for each comparison. An identity line (diagonal with intercept = 0, slope = 1) is included to represent the lack of difference between means. A desired post-intervention level and a desired amount of change after introducing the intervention is specified to define an area of the plot in which the dots should fall if they all meet both requirements. The share of points in the area gives the degree of replication.",(1) Allows the representation of the results for several comparisons within participants and across participants on the same plot,"""Given a pre-specified desired effect and multiple replications, what is the share of replications that, represented graphically, achieve the desired effect?""",No,Replication; Consistency,Same data - same analysis; Same data - different analysis; Different data - same analysis; Different data - different analysis,"Reproducibility (direct and conceptual replication), repeatability, robustness, generalizability, translatability",Several replications,"To quantify (continuous); To classify (binary, yes or no); To illustrate","The authors say that the graph can be used to quantify replicability, but mostly  used to decide whether or not the points are in the designated area or not (so dichotomous)",A graph,Quantitative with subjective input needed to define improvement and post intervention level margins,Ready-to-use tool: R shiny app(\href{https://manolov shinyapps.io/Brinley}{https://manolov shinyapps.io/Brinley} without underlying source code,Results - numbers and tables,,(1) Loss of Information about time and variability (2) The quantifications proposed are purely descriptive,\cite{manolov_assessing_2020},\cite{manolov_proposal_2022},
